MaxSizeTL,sstmean,Diet,Position,Kmax,Kmax_lowqt,Kmax_upqt
2,30,Plktiv,PelgAs,9.276,7.128,12.243
2,30,Plktiv,PelgDw,8.584,6.349,11.674
2,30,Plktiv,BtPlAs,7.005,5.099,9.788
2,30,Plktiv,BtPlDw,9.99,7.649,13.312
2,30,Plktiv,BnthAs,7.898,5.378,11.25
2,30,Plktiv,BnthDw,8.718,6.866,11.123
2,30,InvSes,PelgAs,8.546,6.037,12.628
2,30,InvSes,PelgDw,8.003,5.363,11.827
2,30,InvSes,BtPlAs,6.693,4.499,10.241
2,30,InvSes,BtPlDw,9.314,6.35,13.812
2,30,InvSes,BnthAs,7.305,4.833,11.315
2,30,InvSes,BnthDw,7.958,5.716,11.476
2,30,InvMob,PelgAs,8.271,5.814,11.484
2,30,InvMob,PelgDw,7.727,5.368,10.889
2,30,InvMob,BtPlAs,6.163,4.168,9.012
2,30,InvMob,BtPlDw,9.042,6.336,12.775
2,30,InvMob,BnthAs,6.848,4.528,9.697
2,30,InvMob,BnthDw,7.715,5.569,10.543
2,30,FisCep,PelgAs,7.687,5.354,10.716
2,30,FisCep,PelgDw,7.177,4.964,10.138
2,30,FisCep,BtPlAs,5.926,4.057,8.564
2,30,FisCep,BtPlDw,8.516,5.887,11.775
2,30,FisCep,BnthAs,6.773,4.301,10.112
2,30,FisCep,BnthDw,6.891,4.951,9.625
4,10,HerMac,PelgAs,1.856,1.067,3.072
4,10,HerMac,PelgDw,1.832,1.064,3.044
4,10,HerMac,BtPlAs,1.718,0.962,2.904
4,10,HerMac,BtPlDw,2.162,1.227,3.637
4,10,HerMac,BnthAs,1.289,0.717,2.24
4,10,HerMac,BnthDw,1.849,1.094,3.113
4,10,HerDet,PelgAs,1.708,0.983,3.023
4,10,HerDet,PelgDw,1.706,0.963,2.955
4,10,HerDet,BtPlAs,1.612,0.886,2.759
4,10,HerDet,BtPlDw,2.014,1.133,3.524
4,10,HerDet,BnthAs,1.241,0.699,2.276
4,10,HerDet,BnthDw,1.703,0.985,2.938
4,10,Omnivr,PelgAs,1.633,0.901,2.794
4,10,Omnivr,PelgDw,1.61,0.897,2.821
4,10,Omnivr,BtPlAs,1.551,0.823,2.639
4,10,Omnivr,BtPlDw,1.904,1.049,3.291
4,10,Omnivr,BnthAs,1.152,0.626,2.048
4,10,Omnivr,BnthDw,1.624,0.928,2.823
4,10,Plktiv,PelgAs,1.957,1.097,3.293
4,10,Plktiv,PelgDw,1.961,1.125,3.358
4,10,Plktiv,BtPlAs,1.818,1.001,3.218
4,10,Plktiv,BtPlDw,2.236,1.262,3.789
4,10,Plktiv,BnthAs,1.359,0.744,2.464
4,10,Plktiv,BnthDw,1.926,1.092,3.303
4,10,InvSes,PelgAs,1.874,1.087,3.227
4,10,InvSes,PelgDw,1.844,1.08,3.204
4,10,InvSes,BtPlAs,1.774,0.99,3.139
4,10,InvSes,BtPlDw,2.218,1.235,3.851
4,10,InvSes,BnthAs,1.31,0.73,2.363
4,10,InvSes,BnthDw,1.84,1.085,3.183
4,10,InvMob,PelgAs,1.823,1.084,3.07
4,10,InvMob,PelgDw,1.807,1.086,3.055
4,10,InvMob,BtPlAs,1.689,0.994,2.839
4,10,InvMob,BtPlDw,2.149,1.259,3.633
4,10,InvMob,BnthAs,1.233,0.707,2.214
